ID,Local,Num_Duplicates,Rating,Song,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Date,Spot_Date,Re_Date,Duration,Album,Popularity,Dance,Energy,Key,Volume,Mode,Speech,Acoustic,Instrumental,Lively,Valence,Tempo,URI 1,URI 2,URI 3,URI 4,URI 5,Artist URI 1,Artist URI 2,Artist URI 3,Artist URI 4,Artist URI 5,Artist URI 6,Artist URI 7,Artist URI 8,Artist URI 9,Artist URI 10
1,Yes,1,,02 We Found House (3LAU Big Room Bootleg),,,,,,,,,,,,Unknown,,232000,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,,,,,,,,,,,,,,
2,No,2,,7 rings,Ariana Grande,,,,,,,,,,,2019-01-18,,178640,7 rings,1,0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,,,,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,,,,,,,,,
3,No,2,,7 rings,Ariana Grande,,,,,,,,,,,2019-02-08,,178627,"thank u, next",87,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,,,,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,,,,,,,,,
4,No,3,,Adam's Song,blink-182,,,,,,,,,,,1999-06-01,,249627,Enema Of The State,73,0.52,0.775,0,-5.803,1,0.0348,0.034,0,0.364,0.382,136.028,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,spotify:track:14msK75pk3pA33pzPVNtBFspotify:track:6ocbgoVGwYJhOv1GgI9NsF,,,spotify:artist:6FBDaR13swtiWwGhX1WQsP,,,,,,,,,
5,No,3,,Adam's Song,blink-182,,,,,,,,,,,1999-01-01,,249560,Enema Of The State,0,0.517,0.754,0,-5.754,1,0.0338,0.0438,0,0.364,0.49,136.089,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,spotify:track:14msK75pk3pA33pzPVNtBFspotify:track:6ocbgoVGwYJhOv1GgI9NsF,,,spotify:artist:6FBDaR13swtiWwGhX1WQsP,,,,,,,,,
6,No,3,,Adam's Song,blink-182,,,,,,,,,,,1999-01-01,,249754,Enema Of The State,0,0.514,0.771,0,-5.756,1,0.0364,0.039,0,0.262,0.359,136.058,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,spotify:track:14msK75pk3pA33pzPVNtBFspotify:track:6ocbgoVGwYJhOv1GgI9NsF,,,spotify:artist:6FBDaR13swtiWwGhX1WQsP,,,,,,,,,
7,No,1,,2 Seater (feat. G-Eazy & Offset),YBN Nahmir,G-Eazy,Offset,,,,,,,,,2020-03-19,,229806,2 Seater (feat. G-Eazy & Offset),58,0.972,0.691,11,-4.288,1,0.0798,0.00132,6.18e-06,0.115,0.637,125.03,spotify:track:6xpDh0dXrkVp0Po1qrHUd8spotify:track:4RNeJ1qy9feTpgCI8xxQM1spotify:track:43NhiKnrtGqztxDqXrcUux,,,,,spotify:artist:3gGUMEwIX6XodWsYEvKSal,spotify:artist:02kJSzxNuaWGqwubyUba0Z,spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW,,,,,,,
