ID,Local,Num_Duplicates,Rating,Song,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Date,Spot_Date,Re_Date,Duration,Album,Popularity,Dance,Energy,Key,Volume,Mode,Speech,Acoustic,Instrumental,Lively,Valence,Tempo,URI 1,URI 2,URI 3,URI 4,URI 5,Artist URI 1,Artist URI 2,Artist URI 3,Artist URI 4,Artist URI 5,Artist URI 6,Artist URI 7,Artist URI 8,Artist URI 9,Artist URI 10
614,No,2,5,Jingle Bell Rock,Bobby Helms,,,,,,,,,,1957,1957-12-02,1992,130973,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),79,0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,spotify:track:4VsMart0lkjUtyQnmxloK6,spotify:track:6KJQ2dUyRlevBfFwXyqecu,,,,spotify:artist:38EmEgXkgK51MT2tPY0EoC,,,,,,,,,
1911,No,1,5,Great Balls Of Fire - 1964 Version,Jerry Lee Lewis,,,,,,,,,,1957,1964-05-13,1957,109707,The Golden Rock Hits Of Jerry Lee Lewis,61,0.4,0.818,0,-11.238,1,0.08,0.458,3.25E-06,0.132,0.936,166.287,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:2zyz0VJqrDXeFDIyrfVXSo,,,,,,,,,
779,No,1,4,Blue Suede Shoes,Carl Perkins,,,,,,,,,,1957,1957-01-01,1957,134446,The Dance Album,2,0.548,0.675,4,-7.318,0,0.0364,0.448,8.53E-05,0.297,0.965,168.891,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:5hIClg6noTaCzMu2s5wp4f,,,,,,,,,
1293,No,1,4,Jailhouse Rock,Elvis Presley,,,,,,,,,,1957,1958-03-21,1957,146480,Elvis' Golden Records,71,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93E-06,0.0715,0.915,167.396,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,,,,,,,,,
3345,No,1,4,La Bamba,Ritchie Valens,,,,,,,,,,1958,2009-01-01,1958,128760,Kid La Bamba,0,0.57,0.815,0,-5.468,1,0.0445,0.653,0.00124,0.386,0.91,73.786,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:5Y9xEAGW4GwGJgbiI6W85P,,,,,,,,,
3346,No,1,4,La Bamba - Single Version,Ritchie Valens,,,,,,,,,,1958,1959-01-01,1958,126960,Ritchie Valens,67,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:5Y9xEAGW4GwGJgbiI6W85P,,,,,,,,,
1487,No,2,2,Come Fly With Me - Remastered 1998,Frank Sinatra,,,,,,,,,,1958,1958-01-01,1958,199093,Come Fly With Me (Remastered),69,0.574,0.338,6,-11.376,1,0.042,0.845,0,0.165,0.493,67.008,spotify:track:4VsMart0lkjUtyQnmxloK6,spotify:track:6KJQ2dUyRlevBfFwXyqecu,,,,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0,,,,,,,,,
3918,No,1,No Rating,"Shout, Pt. 1 - Mono",The Isley Brothers,,,,,,,,,,1959,1959-08-21,Unknown,136933,Shout!,34,0.412,0.945,10,-6.892,1,0.0802,0.753,0.000133,0.624,0.603,137.982,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:53QzNeFpzAaXYnrDBbDrIp,,,,,,,,,
3919,No,2,No Rating,"Shout, Pts. 1 & 2",The Isley Brothers,,,,,,,,,,1959,1959-08-21,Unknown,268560,Shout!,62,0.489,0.866,10,-7.433,1,0.0933,0.753,0,0.876,0.416,138.63,spotify:track:4VsMart0lkjUtyQnmxloK6,spotify:track:6KJQ2dUyRlevBfFwXyqecu,,,,spotify:artist:53QzNeFpzAaXYnrDBbDrIp,,,,,,,,,
3956,No,1,No Rating,Smoke Gets In Your Eyes,The Platters,,,,,,,,,,1959,1959-01-01,Unknown,160933,Remember When?,68,0.203,0.295,3,-11.155,1,0.0323,0.92,2.05E-06,0.173,0.285,171.222,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:6KWcxMWVNVIYbdOQyJtsSy,,,,,,,,,
