ID,Downloaded,Spotify,Remake,Remake ID,Year,Rating,Song,Artists,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Artist 11,Christmas
567,,,,,2019,3,Can't Take My Eyes off You,"Craymer, AIIVAWN",Craymer,AIIVAWN,,,,,,,,,,
568,,,,,1967,3,Can't Take My Eyes off You,Frankie Valli,Frankie Valli,,,,,,,,,,,
569,,,,,2007,3,Can't Tell Me Nothing,Kanye West,Kanye West,,,,,,,,,,,
570,,,,,2016,3,Capsize,"FRENSHIP, Emily Warren",FRENSHIP,Emily Warren,,,,,,,,,,
571,,,,,2010,4,Caraphernelia,Pierce The Veil,Pierce The Veil,,,,,,,,,,,
572,,,,,1984,4,Careless Whisper,George Michael,George Michael,,,,,,,,,,,
573,,,,,2007,3,Careless Whisper,Seether,Seether,,,,,,,,,,,
574,,,,,2020,3,Careless Whisper - Steve Forest Edit,"Te Pai, Margad, Steve Forest",Te Pai,Margad,Steve Forest,,,,,,,,,
575,,,,,2012,4,Carol of the Bells,August Burns Red,August Burns Red,,,,,,,,,,,Yes
576,,,,,2017,4,Caroline,Aminé,Aminé,,,,,,,,,,,
577,,,,,1976,2,Carry on Wayward Son,Kansas,Kansas,,,,,,,,,,,
578,,,,,2009,3,Carry Out (Featuring Justin Timberlake),"Timbaland, Justin Timberlake",Timbaland,Justin Timberlake,,,,,,,,,,
579,,,,,1969,3,Carry That Weight,The Beatles,The Beatles,,,,,,,,,,,
580,,,,,2017,4,"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)","Calvin Harris, ScHoolboy Q, PARTYNEXTDOOR, Shelley FKA DRAM",Calvin Harris,ScHoolboy Q,PARTYNEXTDOOR,Shelley FKA DRAM,,,,,,,,
581,,,,,2000,2,Castaway,Green Day,Green Day,,,,,,,,,,,
582,,,,,1974,2,Cats in the Cradle,Harry Chapin,Harry Chapin,,,,,,,,,,,
583,,,,,2010,3,Caves,Chiodos,Chiodos,,,,,,,,,,,
584,,,,,1980,2,Celebration,Kool & The Gang,Kool & The Gang,,,,,,,,,,,
585,,,,,1981,2,Centerfold,The J. Geils Band,The J. Geils Band,,,,,,,,,,,
586,,,,,2003,3,C'est La Vie - Red Version,Shania Twain,Shania Twain,,,,,,,,,,,
587,,,,,2000,2,Cha Cha Slide,DJ Casper,DJ Casper,,,,,,,,,,,
588,,,,,2006,2,Chain Hang Low,Jibbs,Jibbs,,,,,,,,,,,
589,,,,,2017,2,Chained To The Rhythm,"Katy Perry, Skip Marley",Katy Perry,Skip Marley,,,,,,,,,,
590,,,,,2018,4,Champion (feat. Travis Scott),"NAV, Travis Scott",NAV,Travis Scott,,,,,,,,,,
591,,,,,2018,4,changes,XXXTENTACION,XXXTENTACION,,,,,,,,,,,
592,,,,,2004,3,Changes,"Butterfly Boucher, David Bowie",Butterfly Boucher,David Bowie,,,,,,,,,,
593,,,,,1971,3,Changes,David Bowie,David Bowie,,,,,,,,,,,
594,,,,,,,Chantaje (feat. Maluma),"Shakira, Maluma",Shakira,Maluma,,,,,,,,,,
595,,,,,,,Chapter Six,Kendrick Lamar,Kendrick Lamar,,,,,,,,,,,
596,,,,,,,Chasing Cars,Snow Patrol,Snow Patrol,,,,,,,,,,,
597,,,,,,,Chasing Fire,Lauv,Lauv,,,,,,,,,,,
598,,,,,,,Cheap Thrills,Sia,Sia,,,,,,,,,,,
599,,,,,,,Check,Meek Mill,Meek Mill,,,,,,,,,,,
600,,,,,,,Check,Young Thug,Young Thug,,,,,,,,,,,
601,,,,,2005,3,Check On It (Feat. Slim Thug),"Beyonce, Slim Thug",Beyonce,Slim Thug,,,,,,,,,,
602,,,,,,,Cheerleader - Felix Jaehn Remix Radio Edit,"OMI, Felix Jaehn",OMI,Felix Jaehn,,,,,,,,,,
603,,,,,,,Chelsea Dagger,The Fratellis,The Fratellis,,,,,,,,,,,
604,,,,,,,Chicken Fried,Zac Brown Band,Zac Brown Band,,,,,,,,,,,
605,,,,,2017,,Chicken Soup,"Skrillex, Habstrakt",Skrillex,Habstrakt,,,,,,,,,,
606,,,,,2019,3,Chico (Feat. Wiz Khalifa & Kap G),"Alexcis, Kap G, Wiz Khalifa",Alexcis,Kap G,Wiz Khalifa,,,,,,,,,
607,,,,,2014,4,Chills,Down With Webster,Down With Webster,,,,,,,,,,,
608,,,,,1979,3,Chiquitita,ABBA,ABBA,,,,,,,,,,,
609,,,,,2019,2,Chlorine,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,,
610,,,,,2001,4,Chop Suey!,System Of A Down,System Of A Down,,,,,,,,,,,
611,,,,,,,Christmas (Baby Please Come Home),Michael Bublé,Michael Bublé,,,,,,,,,,,
612,,,,,2008,5,Christmas In Hollywood,Hollywood Undead,Hollywood Undead,,,,,,,,,,,
613,,,,,,,Chun-Li,Nicki Minaj,Nicki Minaj,,,,,,,,,,,
614,,,,,2017,4,Ciao Adios,Anne-Marie,Anne-Marie,,,,,,,,,,,
615,,,,,2019,2,Cigarettes On Patios,BabyJake,BabyJake,,,,,,,,,,,
616,,,,,2010,3,Cinderella Man,Eminem,Eminem,,,,,,,,,,,
617,,,,,2011,3,Cinema (Feat. Gary Go) - Skrillex Remix,"Benny Benassi, Gary Go",Benny Benassi,Gary Go,,,,,,,,,,
618,,,,,2008,2,Circles,Hollywood Undead,Hollywood Undead,,,,,,,,,,,
619,,,,,,,Circles,Post Malone,Post Malone,,,,,,,,,,,
620,,,,,2008,3,Circus,Britney Spears,Britney Spears,,,,,,,,,,,
621,,,,,2008,3,City,Hollywood Undead,Hollywood Undead,,,,,,,,,,,
622,,,,,,,City Blues (Remix) (feat. The Game),"TOBi, The Game",TOBi,The Game,,,,,,,,,,
623,,,,,2019,4,CITY OF ANGELS,24kGoldn,24kGoldn,,,,,,,,,,,
624,,,,,,,City on Lockdown,"Yellow Claw, Juicy J, Lil Debbie",Yellow Claw,Juicy J,Lil Debbie,,,,,,,,,
625,No,No,,,2009,3,Clap Off (Feat.Timbaland),"Busta Rhymes, Timbaland",Busta Rhymes,Timbaland,,,,,,,,,,
626,,,,,,,Clarity,"Zedd, Foxes",Zedd,Foxes,,,,,,,,,,
627,,,,,2012,3,Classic,MKTO,MKTO,,,,,,,,,,,
628,,,,,2002,3,Cleanin' Out My Closet,Eminem,Eminem,,,,,,,,,,,
629,,,,,2001,2,Clint Eastwood,Gorillaz,Gorillaz,,,,,,,,,,,
630,,,,,2012,4,Clique,"Kanye West, JAY-Z, Big Sean",Kanye West,JAY-Z,Big Sean,,,,,,,,,
631,Yes,No,,,2012,3,Clique And Fuckin' Problem,Tyga,Tyga,,,,,,,,,,,
632,,,,,2002,4,Clocks,Coldplay,Coldplay,,,,,,,,,,,
633,,,,,,,Close,"Nick Jonas, Tove Lo",Nick Jonas,Tove Lo,,,,,,,,,,
634,,,,,2018,4,Close To Me (with Diplo) (feat. Swae Lee),"Ellie Goulding, Diplo, Swae Lee",Ellie Goulding,Diplo,Swae Lee,,,,,,,,,
635,,,,,,,Close To You,Rihanna,Rihanna,,,,,,,,,,,
636,,,,,,,Close Your Eyes,"Felix Jaehn, VIZE, Miss Li",Felix Jaehn,VIZE,Miss Li,,,,,,,,,
637,,,,,,,Closer,"The Chainsmokers, Halsey",The Chainsmokers,Halsey,,,,,,,,,,
638,,,,,,,Closing Time,Semisonic,Semisonic,,,,,,,,,,,
639,,,,,2011,3,Closure,Asking Alexandria,Asking Alexandria,,,,,,,,,,,
640,,,,,,,Cloud 9,Beach Bunny,Beach Bunny,,,,,,,,,,,
641,,,,,2017,2,Clouds,Milky Chance,Milky Chance,,,,,,,,,,,
642,,,,,2017,3,Clout (feat. 21 Savage),"Ty Dolla $ign, 21 Savage",Ty Dolla $ign,21 Savage,,,,,,,,,,
643,,,,,2010,4,Club Can't Handle Me (Feat. David Guetta),"Flo Rida, David Guetta",Flo Rida,David Guetta,,,,,,,,,,
644,,,,,,,Clumsy,Fergie,Fergie,,,,,,,,,,,
645,,,,,,,C'Mon,Kesha,Kesha,,,,,,,,,,,
646,,,,,1977,3,Cocaine,Eric Clapton,Eric Clapton,,,,,,,,,,,
647,,,,,2002,3,Cochise,Audioslave,Audioslave,,,,,,,,,,,
648,,,,,2018,2,Cocky (feat. London On Da Track),"A$AP Rocky, Gucci Mane, 21 Savage, London On Da Track",A$AP Rocky,Gucci Mane,21 Savage,London On Da Track,,,,,,,,
649,,,,,,,CoCo,O.T. Genasis,O.T. Genasis,,,,,,,,,,,
650,,,,,2017,4,Cocoon,Milky Chance,Milky Chance,,,,,,,,,,,
651,,,,,,,Codeine Dreaming (feat. Lil Wayne),"Kodak Black, Lil Wayne",Kodak Black,Lil Wayne,,,,,,,,,,
652,,,,,2020,2,COFFIN (feat. Eminem),"Jessie Reyez, Eminem",Jessie Reyez,Eminem,,,,,,,,,,
653,,,,,2017,2,Cold Blue Rain,Milky Chance,Milky Chance,,,,,,,,,,,
654,,,,,,,Cold Cold Cold,Cage The Elephant,Cage The Elephant,,,,,,,,,,,
655,,,,,,,Cold December Night,Michael Bublé,Michael Bublé,,,,,,,,,,,
656,,,,,,,Cold Feet,Loud Luxury,Loud Luxury,,,,,,,,,,,
657,,,,,2003,3,Cold Hard Bitch,Jet,Jet,,,,,,,,,,,
658,,,,,2016,4,Cold Water,"Major Lazer, Justin Bieber, MØ",Major Lazer,Justin Bieber,MØ,,,,,,,,,
659,,,,,,,Coleen feat. The Dap-Kings Horns,"The Heavy, The Dap-Kings Horns",The Heavy,The Dap-Kings Horns,,,,,,,,,,
660,,,,,,,Collard Greens,"ScHoolboy Q, Kendrick Lamar",ScHoolboy Q,Kendrick Lamar,,,,,,,,,,
661,,,,,,,Collide,Rachel Platten,Rachel Platten,,,,,,,,,,,
662,,,,,,,Collide,"Vicetone, Rosi Golan",Vicetone,Rosi Golan,,,,,,,,,,
663,,,,,,,Comatose,Skillet,Skillet,,,,,,,,,,,
664,,,,,2004,4,Combat Baby,Metric,Metric,,,,,,,,,,,
665,,,,,,,Come,Jain,Jain,,,,,,,,,,,
666,,,,,2016,2,Come And Get It,I Prevail,I Prevail,,,,,,,,,,,
667,,,,,,,Come and See Me (feat. Drake),"PARTYNEXTDOOR, Drake",PARTYNEXTDOOR,Drake,,,,,,,,,,
668,,,,,1991,3,Come As You Are,Nirvana,Nirvana,,,,,,,,,,,
669,,,,,1958,2,Come Fly With Me,Frank Sinatra,Frank Sinatra,,,,,,,,,,,
670,,,,,,,Come Fly with Me,Michael Bublé,Michael Bublé,,,,,,,,,,,
671,,,,,,,Come Get Her,Rae Sremmurd,Rae Sremmurd,,,,,,,,,,,
672,,,,,1982,4,Come On Eileen,Dexys Midnight Runners,Dexys Midnight Runners,,,,,,,,,,,
673,,,,,1973,3,Come On Feel The Noise,Slade,Slade,,,,,,,,,,,
674,,,,,1987,4,"Come On, Let's Go",Los Lobos,Los Lobos,,,,,,,,,,,
675,,,,,,,Come Out And Play (Keep ‘Em Separated),The Offspring,The Offspring,,,,,,,,,,,
676,,,,,,,Come Through and Chill (feat. J. Cole & Salaam Remi),"Miguel, J. Cole, Salaam Remi",Miguel,J. Cole,Salaam Remi,,,,,,,,,
677,,,,,,,Come Together,The Beatles,The Beatles,,,,,,,,,,,
678,,,,,1998,5,Come With Me,Diddy,Diddy,,,,,,,,,,,
679,,,,,,,Come With Me,Puff Daddy,Puff Daddy,,,,,,,,,,,
680,,,,,,,Come With Me Now,KONGOS,KONGOS,,,,,,,,,,,
681,,,,,,,Comfortably Numb,Pink Floyd,Pink Floyd,,,,,,,,,,,
682,,,,,,,Comin' Down,The View,The View,,,,,,,,,,,
683,,,,,2011,3,Comin’ In Hot,Hollywood Undead,Hollywood Undead,,,,,,,,,,,
684,,,,,2018,3,Coming In Hot,"Andy Mineo, Lecrae",Andy Mineo,Lecrae,,,,,,,,,,
685,,,,,2015,3,Coming Over,"Dillon Francis, Kygo, James Hersey",Dillon Francis,Kygo,James Hersey,,,,,,,,,
686,,,,,,,Coming Undone,Korn,Korn,,,,,,,,,,,
687,,,,,2015,4,Company,Justin Bieber,Justin Bieber,,,,,,,,,,,
688,,,,,2002,4,Complicated,Avril Lavigne,Avril Lavigne,,,,,,,,,,,
689,,,,,2019,4,Congratulations,"Don Diablo, Brando",Don Diablo,Brando,,,,,,,,,,
690,,,,,,,Congratulations,"Post Malone, Quavo",Post Malone,Quavo,,,,,,,,,,
691,,,,,,,Connection,OneRepublic,OneRepublic,,,,,,,,,,,
692,,,,,,,Connections,"TRFN, Siadou",TRFN,Siadou,,,,,,,,,,
693,,,,,,,Consideration,"Rihanna, SZA",Rihanna,SZA,,,,,,,,,,
694,,,,,,,Contra La Pared,"Sean Paul, J Balvin",Sean Paul,J Balvin,,,,,,,,,,
695,,,,,2016,2,Contract (feat. Iamsu),"Good Times Ahead, Iamsu!",Good Times Ahead,Iamsu!,,,,,,,,,,
696,Yes,No,,,2013,4,Control (feat. Kendrick Lamar & Jay Electronica),"Big Sean, Jay Electronica",Big Sean,Jay Electronica,,,,,,,,,,
697,,,,,2016,3,Controlla,Drake,Drake,,,,,,,,,,,
698,,,,,2004,3,Cool,Gwen Stefani,Gwen Stefani,,,,,,,,,,,
699,,,,,2019,3,Cool As Hell,Baker Boy,Baker Boy,,,,,,,,,,,
700,,,,,,,Cooler Than Me,"Mike Posner, Gigamesh",Mike Posner,Gigamesh,,,,,,,,,,
701,,,,,,,COPYCAT,Billie Eilish,Billie Eilish,,,,,,,,,,,
702,,,,,,,COPYCAT - Sofi Tukker Remix,"Billie Eilish, Sofi Tukker",Billie Eilish,Sofi Tukker,,,,,,,,,,
703,,,,,,,Cornelius,The Bloody Beetroots,The Bloody Beetroots,,,,,,,,,,,
704,,,,,2014,3,Cornfield Chase,Hans Zimmer,Hans Zimmer,,,,,,,,,,,
705,,,,,,,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)","Dreamville, Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy, Ski Mask The Slump God",Dreamville,Bas,JID,Guapdad 4000,Reese LAFLARE,Jace,Mez,Smokepurpp,Buddy,Ski Mask The Slump God,,
706,,,,,1980,3,Could You Be Loved,Bob Marley & The Wailers,Bob Marley & The Wailers,,,,,,,,,,,
707,,,,,,,Counting Stars,OneRepublic,OneRepublic,,,,,,,,,,,
708,,,,,2000,2,Country Grammar (Hot Shit),Nelly,Nelly,,,,,,,,,,,
709,,,,,,,Country Song,Seether,Seether,,,,,,,,,,,
710,,,,,2014,2,Country to the City (Feat. JG MadeUmLook),"Bubba Sparxxx, Good Ol' Boy, JG MadeUmLook",Bubba Sparxxx,Good Ol' Boy,JG MadeUmLook,,,,,,,,,
711,,,,,,,Courtesy Call,Thousand Foot Krutch,Thousand Foot Krutch,,,,,,,,,,,
712,,,,,,,Crabbuckit,K-OS,K-OS,,,,,,,,,,,
713,,,,,2009,3,Crack A Bottle,"Eminem, Dr. Dre, 50 Cent",Eminem,Dr. Dre,50 Cent,,,,,,,,,
714,,,,,,,Cradles,Sub Urban,Sub Urban,,,,,,,,,,,
715,,,,,,,Crank That (Soulja Boy),Soulja Boy,Soulja Boy,,,,,,,,,,,
716,,,,,,,Crash,Papa Roach,Papa Roach,,,,,,,,,,,
717,,,,,2000,4,Crawling,Linkin Park,Linkin Park,,,,,,,,,,,
718,,,,,2001,2,Crawling In The Dark,Hoobastank,Hoobastank,,,,,,,,,,,
719,,,,,,,Crazy = Genius,Panic! At The Disco,Panic! At The Disco,,,,,,,,,,,
720,,,,,,,Crazy Bitch,Buckcherry,Buckcherry,,,,,,,,,,,
721,,,,,2013,3,Crazy For You,Hedley,Hedley,,,,,,,,,,,
722,,,,,2003,3,Crazy In Love (Feat. Jay-Z),"Beyoncé, JAY-Z",Beyoncé,JAY-Z,,,,,,,,,,
723,,,,,1979,5,Crazy Little Thing Called Love,Queen,Queen,,,,,,,,,,,
724,,,,,,,Crazy Little Thing Called Love,Michael Bublé,Michael Bublé,,,,,,,,,,,
725,,,,,1992,5,Creep,Radiohead,Radiohead,,,,,,,,,,,
726,,,,,,,Creep,Stone Temple Pilots,Stone Temple Pilots,,,,,,,,,,,
727,,,,,2011,4,Crew Love,"Drake, The Weeknd",Drake,The Weeknd,,,,,,,,,,
728,,,,,2011,3,Criminal,Britney Spears,Britney Spears,,,,,,,,,,,
729,,,,,,,Crossfire,Stephen,Stephen,,,,,,,,,,,
730,,,,,2006,2,Crowd Chant,Joe Satriani,Joe Satriani,,,,,,,,,,,
731,,,,,2013,2,Crown,JAY-Z,JAY-Z,,,,,,,,,,,
732,,,,,2020,3,Cruel Intentions,"Delacey, G-Eazy",Delacey,G-Eazy,,,,,,,,,,
733,,,,,,,Cry For You,September,September,,,,,,,,,,,
734,,,,,,,Cry For You - Recorded at Spotify Studios NYC,Sofi Tukker,Sofi Tukker,,,,,,,,,,,
735,,,,,2002,4,Cry Me a River,Justin Timberlake,Justin Timberlake,,,,,,,,,,,
736,,,,,,,Cry Me a River,Michael Bublé,Michael Bublé,,,,,,,,,,,
737,,,,,,,Cry Me A River (triple j Like A Version),Methyl Ethel,Methyl Ethel,,,,,,,,,,,
738,,,,,2017,3,Crying in the Club,Camila Cabello,Camila Cabello,,,,,,,,,,,
739,,,,,2010,3,Cthulu Sleeps,deadmau6,deadmau6,,,,,,,,,,,
740,,,,,,,Culo,"Lil Jon, Pitbull",Lil Jon,Pitbull,,,,,,,,,,
741,,,,,2007,3,Cupid's Chokehold / Breakfast In America,Gym Class Heroes,Gym Class Heroes,,,,,,,,,,,
742,,,,,,,Curse Me Good,The Heavy,The Heavy,,,,,,,,,,,
743,,,,,2017,2,Curve (feat. The Weeknd),"Gucci Mane, The Weeknd",Gucci Mane,The Weeknd,,,,,,,,,,
744,,,,,2002,2,Cute Without The 'E' (Cut From The Team),Taking Back Sunday,Taking Back Sunday,,,,,,,,,,,
745,,,,,2007,2,D.A.N.C.E.,Justice,Justice,,,,,,,,,,,
746,,,,,2020,3,Daddy Cool,Alfons,Alfons,,,,,,,,,,,
747,,,,,1976,3,Daddy Cool,Boney M.,Boney M.,,,,,,,,,,,
748,,,,,,,Daddy Issues,The Neighbourhood,The Neighbourhood,,,,,,,,,,,
749,,,,,2020,3,Daisies - Oliver Heldens Remix,"Katy Perry, Oliver Heldens",Katy Perry,Oliver Heldens,,,,,,,,,,
750,,,,,1997,3,Dammit,blink-182,blink-182,,,,,,,,,,,
751,,,,,,,damn Right Pt. 2,"AUDREY NUNA, DJ Snake",AUDREY NUNA,DJ Snake,,,,,,,,,,
752,,,,,2012,2,Dance Again,"Jennifer Lopez, Pitbull",Jennifer Lopez,Pitbull,,,,,,,,,,
753,,,,,,,Dance to the Music,Sly & The Family Stone,Sly & The Family Stone,,,,,,,,,,,
754,,,,,,,Dance with Me (feat. Thomas Rhett & Young Thug),"Diplo, Thomas Rhett, Young Thug",Diplo,Thomas Rhett,Young Thug,,,,,,,,,
755,No,No,,,2012,2,Dance! - Radio Edit,"Goleo VI, Lumidee, Fatman Scoop",Goleo VI,Lumidee,Fatman Scoop,,,,,,,,,
756,,,,,2005,4,"Dance, Dance",Fall Out Boy,Fall Out Boy,,,,,,,,,,,
757,,,,,2020,4,Dancing in the Moonlight,"Lofi Fruits Music, Snuggles, Avocuddle",Lofi Fruits Music,Snuggles,Avocuddle,,,,,,,,,
758,,,,,2000,4,Dancing in the Moonlight,Toploader,Toploader,,,,,,,,,,,
759,,,,,1976,3,Dancing Queen,ABBA,ABBA,,,,,,,,,,,
760,,,,,2015,3,Dancing With A Wolf,All Time Low,All Time Low,,,,,,,,,,,
761,,,,,2016,5,Dang! (feat. Anderson .Paak),"Mac Miller, Anderson .Paak",Mac Miller,Anderson .Paak,,,,,,,,,,
762,,,,,,,Danger Zone,Kenny Loggins,Kenny Loggins,,,,,,,,,,,
763,,,,,2014,3,Dangerous (feat. Sam Martin),"David Guetta, Sam Martin",David Guetta,Sam Martin,,,,,,,,,,
764,,,,,2006,3,Dani California,Red Hot Chili Peppers,Red Hot Chili Peppers,,,,,,,,,,,
765,,,,,,,Danza Kuduro,"Don Omar, Lucenzo",Don Omar,Lucenzo,,,,,,,,,,
766,,,,,2005,3,Dare,Gorillaz,Gorillaz,,,,,,,,,,,
767,,,,,2000,2,Dare You to Move,Switchfoot,Switchfoot,,,,,,,,,,,
768,,,,,2010,3,Dark Fantasy,Kanye West,Kanye West,,,,,,,,,,,
769,,,,,2013,3,Dark Horse,"Katy Perry, Juicy J",Katy Perry,Juicy J,,,,,,,,,,
770,,,,,2018,4,Darkside,"Alan Walker, Au/Ra, Tomine Harket",Alan Walker,Au/Ra,Tomine Harket,,,,,,,,,
771,,,,,2017,3,Darling,Real Estate,Real Estate,,,,,,,,,,,
772,,,,,2019,3,Dash Race,"Bailo, BlumBros",Bailo,BlumBros,,,,,,,,,,
773,,,,,,,Day 'N' Nite - Crookers Remix,"Kid Cudi, Crookers",Kid Cudi,Crookers,,,,,,,,,,
774,,,,,,,Day 'N' Nite - Martin Jensen Edit,"Stefy De Cicco, Ben Hamilton, Martin Jensen",Stefy De Cicco,Ben Hamilton,Martin Jensen,,,,,,,,,
775,,,,,,,Day 'N' Nite (nightmare),Kid Cudi,Kid Cudi,,,,,,,,,,,
776,,,,,,,Daybreak (GoPro H3RO3 Edit),OVERWERK,OVERWERK,,,,,,,,,,,
777,,,,,,,DAYLIGHT,"TELYKast, One True God",TELYKast,One True God,,,,,,,,,,
778,,,,,1969,4,Dazed and Confused,Led Zeppelin,Led Zeppelin,,,,,,,,,,,
779,,,,,1980,4,"De Do Do Do, De Da Da Da",The Police,The Police,,,,,,,,,,,
780,,,,,2012,3,Dead Bite,Hollywood Undead,Hollywood Undead,,,,,,,,,,,
781,,,,,,,Dead Leaves and the Dirty Ground,The White Stripes,The White Stripes,,,,,,,,,,,
782,,,,,2011,3,Dear Insanity,Asking Alexandria,Asking Alexandria,,,,,,,,,,,
783,,,,,2007,2,"Dear Maria, Count Me In",All Time Low,All Time Low,,,,,,,,,,,
784,,,,,,,Dear Ms. Rose,G-Eazy,G-Eazy,,,,,,,,,,,
785,,,,,2015,2,DEATHCAMP (feat. Cole Alexander),"Tyler, The Creator, Cole Alexander","Tyler, The Creator",Cole Alexander,,,,,,,,,,
786,,,,,,,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,Frankie Valli & The Four Seasons,,,,,,,,,,,
787,,,,,,,Decisions (feat. Miley Cyrus),"Borgore, Miley Cyrus",Borgore,Miley Cyrus,,,,,,,,,,
788,,,,,,,Dedicate,Lil Wayne,Lil Wayne,,,,,,,,,,,
789,,,,,,,Deep Breaths,"Lookas, Cal",Lookas,Cal,,,,,,,,,,
790,,,,,,,Deep Down,Saosin,Saosin,,,,,,,,,,,
791,,,,,,,Deep Down Low,Valentino Khan,Valentino Khan,,,,,,,,,,,
792,,,,,2020,3,Deep End,Fousheé,Fousheé,,,,,,,,,,,
793,,,,,2020,3,Deep End,Spicyverse,Spicyverse,,,,,,,,,,,
794,,,,,2020,2,Deep End - SIDEPIECE Remix,"John Summit, SIDEPIECE",John Summit,SIDEPIECE,,,,,,,,,,
795,,,,,2015,3,Deep Six,Marilyn Manson,Marilyn Manson,,,,,,,,,,,
796,,,,,,,Deja Vu,"Post Malone, Justin Bieber",Post Malone,Justin Bieber,,,,,,,,,,
797,,,,,,,Delirious (Boneless) (feat. Kid Ink),"Steve Aoki, Chris Lake, Tujamo, Kid Ink",Steve Aoki,Chris Lake,Tujamo,Kid Ink,,,,,,,,
798,,,,,2017,3,Dem Days,Dae Dae,Dae Dae,,,,,,,,,,,
799,,,,,2012,2,Demons,Imagine Dragons,Imagine Dragons,,,,,,,,,,,
800,,,,,,,Dernière danse,Indila,Indila,,,,,,,,,,,
801,,,,,2015,3,Derp - Original Mix,"Bassjackers, MAKJ",Bassjackers,MAKJ,,,,,,,,,,
802,,,,,2019,3,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Luis Fonsi,Daddy Yankee,Justin Bieber,,,,,,,,,
803,,,,,,,Detroit Rock City,KISS,KISS,,,,,,,,,,,
804,,,,,2006,4,Devil In A Midnight Mass,Billy Talent,Billy Talent,,,,,,,,,,,
805,,,,,2009,3,Devil on My Shoulder,Billy Talent,Billy Talent,,,,,,,,,,,
806,,,,,,,Devotion - 2020 Remix,"Bingo Players, Felguk, Fafaq",Bingo Players,Felguk,Fafaq,,,,,,,,,
807,,,,,2009,3,Diamond on a Landmine,Billy Talent,Billy Talent,,,,,,,,,,,
808,,,,,,,DIamonds,Rihanna,Rihanna,,,,,,,,,,,
809,,,,,,,Die Young,Kesha,Kesha,,,,,,,,,,,
810,,,,,,,Die Young - Original Mix,DJ Fixx,DJ Fixx,,,,,,,,,,,
811,,,,,,,Dig A Pony,The Beatles,The Beatles,,,,,,,,,,,
812,,,,,,,Dinero,Trinidad Cardona,Trinidad Cardona,,,,,,,,,,,
813,,,,,,,Diplomatico (feat. Guaynaa),"Major Lazer, Diplo, Guaynaa",Major Lazer,Diplo,Guaynaa,,,,,,,,,
814,,,,,2002,2,Dirrty (Feat. Redman),"Christina Aguilera, Redman",Christina Aguilera,Redman,,,,,,,,,,
815,,,,,2003,2,Dirt Off Your Shoulder,JAY-Z,JAY-Z,,,,,,,,,,,
816,,,,,1976,2,Dirty Deeds Done Dirt Cheap,AC/DC,AC/DC,,,,,,,,,,,
817,,,,,2017,3,Dirty Laundry,All Time Low,All Time Low,,,,,,,,,,,
818,,,,,,,Dirty Little Secret,The All-American Rejects,The All-American Rejects,,,,,,,,,,,
819,,,,,,,Dirty Water,The Standells,The Standells,,,,,,,,,,,
820,,,,,2003,2,Disappear,Hoobastank,Hoobastank,,,,,,,,,,,
821,,,,,2005,3,Disco Inferno,50 Cent,50 Cent,,,,,,,,,,,
822,,,,,,,Disconnected,Pegboard Nerds,Pegboard Nerds,,,,,,,,,,,
823,,,,,2019,2,Disrespectful,GASHI,GASHI,,,,,,,,,,,
824,,,,,2018,3,Distorted Records,A$AP Rocky,A$AP Rocky,,,,,,,,,,,
825,,,,,,,Disturbia,Rihanna,Rihanna,,,,,,,,,,,
826,,,,,2010,2,DJ Got Us Fallin' In Love (feat. Pitbull),"Usher, Pitbull",Usher,Pitbull,,,,,,,,,,
827,,,,,,,DJ Turn It Up,Yellow Claw,Yellow Claw,,,,,,,,,,,
828,,,,,,,DNA.,Kendrick Lamar,Kendrick Lamar,,,,,,,,,,,
829,,,,,,,DnF,"Preme, Drake, Future",Preme,Drake,Future,,,,,,,,,
830,,,,,2020,5,Do I Wanna Know?,"Lofi Fruits Music, Avocuddle, Orange Stick",Lofi Fruits Music,Avocuddle,Orange Stick,,,,,,,,,
831,,,,,2013,3,Do I Wanna Know?,Arctic Monkeys,Arctic Monkeys,,,,,,,,,,,
832,,,,,2002,2,Do It Again,Queens of the Stone Age,Queens of the Stone Age,,,,,,,,,,,
833,,,,,,,Do It! - Dimitri Vegas Radio Edit,"Dimitri Vegas, Like Mike, Kim Loaiza, Azteck, Dimitri Vegas",Dimitri Vegas,Like Mike,Kim Loaiza,Azteck,Dimitri Vegas,,,,,,,
834,,,,,2017,3,Do Not Disturb,Drake,Drake,,,,,,,,,,,
835,,,,,,,Do Not Disturb (feat. Lil Yachty & Offset),"Smokepurpp, Murda Beatz, Lil Yachty, Offset",Smokepurpp,Murda Beatz,Lil Yachty,Offset,,,,,,,,
836,,,,,2017,3,do re mi,blackbear,blackbear,,,,,,,,,,,
837,,,,,2017,3,do re mi (feat. Gucci Mane),"blackbear, Gucci Mane",blackbear,Gucci Mane,,,,,,,,,,
